epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28713,2.37938,3.63611,1.4546,0.00763,0.02778,0.00407,0.00163,2.25087,3.59676,1.17449,2e-05,2e-05,2e-05
2,2.14128,2.26079,3.61417,1.33217,0.008,0.02778,0.00431,0.00172,2.05317,3.59151,1.1329,5.8812e-05,5.8812e-05,5.8812e-05
3,2.95849,2.2718,3.58554,1.24965,0.0155,0.05556,0.00864,0.00258,1.82566,3.57992,1.07455,9.604e-05,9.604e-05,9.604e-05
4,3.73468,2.15678,3.52721,1.22762,0.01481,0.05556,0.00855,0.00507,1.52038,3.56227,0.99884,0.000131684,0.000131684,0.000131684
5,4.51987,1.7137,3.44194,1.26539,0.02069,0.08333,0.01552,0.00755,1.15698,3.54313,0.93019,0.000165744,0.000165744,0.000165744
6,5.37296,1.38188,3.35114,1.14347,0.02069,0.08333,0.01552,0.00755,1.15698,3.54313,0.93019,0.00019822,0.00019822,0.00019822
7,6.24252,1.69746,3.27664,1.15994,0.10497,0.52778,0.13478,0.07234,0.92387,3.48663,0.89803,0.000229112,0.000229112,0.000229112
8,6.93444,2.88826,3.24734,1.38621,0.18333,0.91667,0.42953,0.24994,1.0277,3.39795,0.89795,0.00025842,0.00025842,0.00025842
9,7.78991,1.84347,3.04577,1.08138,0.18333,0.91667,0.42953,0.24994,1.0277,3.39795,0.89795,0.000286144,0.000286144,0.000286144
10,8.57025,2.04216,3.12695,1.08836,0.15625,0.97222,0.47205,0.2581,1.0187,3.35416,0.89588,0.000312284,0.000312284,0.000312284
11,9.31459,1.10718,2.87188,1.07292,0.15625,0.97222,0.47205,0.2581,1.0187,3.35416,0.89588,0.00033684,0.00033684,0.00033684
12,10.0143,1.26569,2.91913,1.00134,0.12,1,0.48097,0.22747,0.87077,3.29353,0.87966,0.000359812,0.000359812,0.000359812
13,10.7357,1.63388,2.7044,1.01429,0.12,1,0.48097,0.22747,0.87077,3.29353,0.87966,0.0003812,0.0003812,0.0003812
14,11.4446,1.50952,2.48761,0.98906,0.12,1,0.48097,0.22747,0.87077,3.29353,0.87966,0.000401004,0.000401004,0.000401004
15,12.1863,2.01003,2.51715,0.9976,0.11667,0.97222,0.52479,0.22465,0.95408,3.14227,0.8783,0.000419224,0.000419224,0.000419224
16,12.8892,1.63906,2.47202,1.02626,0.11667,0.97222,0.52479,0.22465,0.95408,3.14227,0.8783,0.00043586,0.00043586,0.00043586
17,13.601,1.30647,2.45476,0.98771,0.11667,0.97222,0.52479,0.22465,0.95408,3.14227,0.8783,0.000450912,0.000450912,0.000450912
18,14.3564,2.06875,2.20015,0.98056,0.12,1,0.71413,0.4225,1.25816,2.83796,0.90777,0.00046438,0.00046438,0.00046438
19,15.1433,1.52525,1.99272,0.97979,0.12,1,0.71413,0.4225,1.25816,2.83796,0.90777,0.000476264,0.000476264,0.000476264
20,15.787,1.5312,2.04032,1.0078,0.12,1,0.71413,0.4225,1.25816,2.83796,0.90777,0.000486564,0.000486564,0.000486564
21,16.6059,1.59205,2.37721,1.00492,0.97274,0.86111,0.92431,0.63436,1.33365,2.36704,0.88082,0.00049528,0.00049528,0.00049528
22,17.4132,1.8122,2.08441,0.99077,0.97274,0.86111,0.92431,0.63436,1.33365,2.36704,0.88082,0.000502412,0.000502412,0.000502412
23,18.1539,1.66237,2.03377,1.02578,0.97274,0.86111,0.92431,0.63436,1.33365,2.36704,0.88082,0.00050796,0.00050796,0.00050796
24,19.0529,1.41644,1.87393,0.98101,0.97274,0.86111,0.92431,0.63436,1.33365,2.36704,0.88082,0.000511924,0.000511924,0.000511924
25,19.8965,1.5336,1.99466,1.03638,0.96425,0.83333,0.93128,0.62567,1.19791,1.88516,0.87133,0.000514304,0.000514304,0.000514304
26,20.6005,1.36513,1.88552,0.96153,0.96425,0.83333,0.93128,0.62567,1.19791,1.88516,0.87133,0.0005151,0.0005151,0.0005151
27,21.3642,1.49115,2.08294,0.92874,0.96425,0.83333,0.93128,0.62567,1.19791,1.88516,0.87133,0.000514312,0.000514312,0.000514312
28,22.0492,1.48166,1.83299,0.92112,0.96425,0.83333,0.93128,0.62567,1.19791,1.88516,0.87133,0.00051194,0.00051194,0.00051194
29,22.9316,1.63538,1.81992,0.94175,0.96425,0.83333,0.93128,0.62567,1.19791,1.88516,0.87133,0.000507984,0.000507984,0.000507984
30,23.86,1.36159,1.99553,1.00068,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.000502444,0.000502444,0.000502444
31,24.5634,1.10673,1.65474,0.93473,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.00049532,0.00049532,0.00049532
32,25.2693,1.29251,1.81184,0.94531,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.000486612,0.000486612,0.000486612
33,25.9741,1.20337,1.72462,0.89404,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.00047632,0.00047632,0.00047632
34,26.7837,1.41751,1.78178,0.97715,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.000464444,0.000464444,0.000464444
35,27.5496,1.41192,1.97311,1.07457,0.96831,0.84897,0.94703,0.61943,0.96533,1.51893,0.86075,0.000450984,0.000450984,0.000450984
36,28.4846,1.91906,1.72408,0.92497,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.00043594,0.00043594,0.00043594
37,29.2338,1.40242,1.56468,0.91281,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.000419312,0.000419312,0.000419312
38,30.1577,1.22335,1.65088,0.92737,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.0004011,0.0004011,0.0004011
39,31.2067,1.51788,1.74068,0.9635,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.000381304,0.000381304,0.000381304
40,32.0451,1.1086,1.58046,0.90517,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.000359924,0.000359924,0.000359924
41,32.7467,1.20664,1.45953,0.93289,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.00033696,0.00033696,0.00033696
42,33.4683,1.45554,1.43782,0.943,0.93686,0.80556,0.93226,0.64406,0.79104,1.26523,0.85421,0.000312412,0.000312412,0.000312412
43,34.2394,1.04596,1.28721,0.79202,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.00028628,0.00028628,0.00028628
44,34.9494,1.14688,1.4111,0.91136,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.000258564,0.000258564,0.000258564
45,35.6657,1.01845,1.38632,0.94282,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.000229264,0.000229264,0.000229264
46,36.3843,1.38592,1.71338,1.07876,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.00019838,0.00019838,0.00019838
47,37.1404,1.45139,1.77711,1.0322,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.000165912,0.000165912,0.000165912
48,37.8677,0.91505,1.3316,0.89032,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,0.00013186,0.00013186,0.00013186
49,38.6826,1.02825,1.43237,0.91949,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,9.6224e-05,9.6224e-05,9.6224e-05
50,39.3205,0.99045,1.4367,0.90891,0.94834,0.86111,0.94902,0.70662,0.83301,1.10699,0.84717,5.9004e-05,5.9004e-05,5.9004e-05
